n_features,last_feature_added,f1_macro
1,geom_layer_count,0.3796
2,topo_unique_edge_count,0.4801
3,mat_belag,0.489
4,mat_gips,0.5092
5,topo_euler_characteristic,0.56
6,mat_kies,0.5588
7,mat_beton,0.5591
8,aabb_ratio_x_y,0.5984
9,geom_ratio_area_vol,0.6228
10,mat_zement,0.6175
11,aabb_len_x,0.6432
12,mat_metall,0.6359
13,mat_bekleidung,0.6451
14,mat_backstein,0.6363
15,mat_kunststein,0.6388
16,aabb_len_y,0.6631
17,geom_compactness,0.6673
18,aabb_len_z,0.6711
19,aabb_max_z,0.6639
20,aabb_ratio_z_y,0.6714
21,tfbb_extent_2,0.681
22,mat_aluminium,0.6807
23,tfbb_ratio_12,0.6826
24,aabb_max_x,0.6775
25,aabb_ratio_z_x,0.6755
26,topo_connected_components,0.6714
27,topo_avg_face_area,0.6869
28,topo_face_count,0.6878
29,mat_werkstoff,0.6861
30,topo_vertex_edge_ratio,0.6862
31,tfbb_extent_1,0.6829
32,mat_allgemein,0.6849
33,topo_vertex_count,0.6899
34,tfbb_extent_0,0.6881
35,aabb_min_z,0.7058
36,geom_centroid_x,0.7036
37,geom_projected_area,0.697
38,horizontal_elements_below,0.6946
39,aabb_max_y,0.7076
40,mat_dämm,0.7061
41,tfbb_volume,0.7095
42,mat_stahl,0.7099
43,geom_surface_area,0.7113
44,horizontal_elements_above,0.7135
45,geom_centroid_z,0.7083
46,topo_max_face_area,0.7075
47,tfbb_planarity,0.709
48,geom_volume,0.7058
49,aabb_volume,0.7028
50,mat_holz,0.6975
51,topo_genus,0.7091
52,aabb_min_x,0.7067
53,aabb_min_y,0.7056
54,geom_centroid_y,0.7105
55,tfbb_sphericity,0.7152
56,tfbb_ratio_02,0.7085
57,tfbb_linearity,0.7188
58,tfbb_primary_ax_z,0.7123
59,mat_keramik,0.7111
60,mat_kalksandstein,0.7116
61,aabb_diagonal,0.714
62,mat_glas,0.7132
63,tfbb_ratio_01,0.7112
64,tfbb_primary_ax_x,0.7197
65,tfbb_primary_ax_y,0.714
66,mat_naturstein,0.7166
67,geom_z_range,0.7166
68,mat_kunststoff,0.7166
69,geom_z_max,0.7166
70,mat_mörtel,0.7166
71,mat_putz,0.7166
72,geom_z_min,0.7166
73,mat_foamglas,0.7166
